Date,Open,High,Low,Close,Change(Pips),Change(%)
07/09/2021 0:00,1.18466,1.18494,1.18449,1.18473,0.7,0.01
07/08/2021 23:45,1.18471,1.18478,1.18459,1.18463,-0.8,-0.01
07/08/2021 23:30,1.18438,1.18478,1.18436,1.18471,3.3,0.03
07/08/2021 23:15,1.18422,1.18426,1.18406,1.18426,0.4,0
07/08/2021 23:00,1.18454,1.18464,1.18415,1.18424,-3,-0.03
07/08/2021 22:45,1.18467,1.18475,1.18445,1.18449,-1.8,-0.02
07/08/2021 22:30,1.18482,1.18485,1.18466,1.18469,-1.3,-0.01
07/08/2021 22:15,1.18475,1.18488,1.18474,1.18483,0.8,0.01
07/08/2021 22:00,1.18443,1.18485,1.18442,1.18475,3.2,0.03
07/08/2021 21:45,1.18455,1.18465,1.18433,1.18434,-2.1,-0.02
07/08/2021 21:30,1.18449,1.18467,1.18439,1.18457,0.8,0.01
07/08/2021 21:15,1.18418,1.18455,1.18407,1.1845,3.2,0.03
07/08/2021 21:00,1.18418,1.18449,1.18415,1.18421,0.3,0
07/08/2021 20:45,1.18451,1.18466,1.18426,1.18465,1.4,0.01
07/08/2021 20:30,1.18434,1.18451,1.18428,1.18448,1.4,0.01
07/08/2021 20:15,1.18454,1.18462,1.18431,1.18434,-2,-0.02
07/08/2021 20:00,1.18474,1.18482,1.18438,1.18452,-2.2,-0.02
07/08/2021 19:45,1.18433,1.18483,1.18417,1.1848,4.7,0.04
07/08/2021 19:30,1.18438,1.18465,1.18418,1.18428,-1,-0.01
07/08/2021 19:15,1.18412,1.18443,1.18402,1.18437,2.5,0.02
07/08/2021 19:00,1.18389,1.18424,1.18388,1.18412,2.3,0.02
07/08/2021 18:45,1.18368,1.18423,1.18368,1.18394,2.6,0.02
07/08/2021 18:30,1.18363,1.18375,1.18349,1.18368,0.5,0
07/08/2021 18:15,1.18388,1.18392,1.18361,1.18367,-2.1,-0.02
07/08/2021 18:00,1.18391,1.18403,1.18378,1.18383,-0.8,-0.01
07/08/2021 17:45,1.18383,1.18402,1.1838,1.18391,0.8,0.01
07/08/2021 17:30,1.18384,1.18396,1.18367,1.18392,0.8,0.01
07/08/2021 17:15,1.18388,1.18397,1.18368,1.1838,-0.8,-0.01
07/08/2021 17:00,1.18446,1.18463,1.18384,1.1839,-5.6,-0.05
07/08/2021 16:45,1.184,1.18447,1.18394,1.18444,4.4,0.04
07/08/2021 16:30,1.18389,1.18409,1.18388,1.18401,1.2,0.01
07/08/2021 16:15,1.18366,1.18396,1.18364,1.18385,1.9,0.02
07/08/2021 16:00,1.18394,1.18413,1.18365,1.18368,-2.6,-0.02
07/08/2021 15:45,1.18405,1.18448,1.18387,1.18397,-0.8,-0.01
07/08/2021 15:30,1.18442,1.18446,1.18368,1.18405,-3.7,-0.03
07/08/2021 15:15,1.18578,1.1858,1.18425,1.18444,-13.4,-0.11
07/08/2021 15:00,1.18532,1.18597,1.18498,1.18578,4.6,0.04
07/08/2021 14:45,1.18651,1.18663,1.18529,1.18529,-12.2,-0.1
07/08/2021 14:30,1.18633,1.18677,1.18603,1.18652,1.9,0.02
07/08/2021 14:15,1.18608,1.18648,1.18543,1.18631,2.3,0.02
07/08/2021 14:00,1.18583,1.18646,1.18551,1.18612,2.9,0.02
07/08/2021 13:45,1.18555,1.18611,1.18528,1.1858,2.5,0.02
07/08/2021 13:30,1.18568,1.18647,1.18547,1.18558,-1,-0.01
07/08/2021 13:15,1.18487,1.18586,1.18487,1.18569,8.2,0.07
07/08/2021 13:00,1.18512,1.18538,1.1844,1.18489,-2.3,-0.02
07/08/2021 12:45,1.18494,1.18594,1.18471,1.18516,2.2,0.02
07/08/2021 12:30,1.18495,1.18518,1.18364,1.18495,0,0
07/08/2021 12:15,1.18377,1.18524,1.18334,1.18497,12,0.1
07/08/2021 12:00,1.18343,1.18404,1.18337,1.18379,3.6,0.03
07/08/2021 11:45,1.18379,1.18395,1.18335,1.18339,-4,-0.03
07/08/2021 11:30,1.18414,1.18419,1.18363,1.18383,-3.1,-0.03
07/08/2021 11:15,1.18426,1.18454,1.18397,1.18411,-1.5,-0.01
07/08/2021 11:00,1.18406,1.18455,1.18331,1.18427,2.1,0.02
07/08/2021 10:45,1.18316,1.18413,1.18309,1.18404,8.8,0.07
07/08/2021 10:30,1.18266,1.1832,1.18255,1.18312,4.6,0.04
07/08/2021 10:15,1.18329,1.18331,1.18246,1.18264,-6.5,-0.05
07/08/2021 10:00,1.18334,1.18378,1.183,1.18332,-0.2,0
07/08/2021 9:45,1.18278,1.18354,1.18278,1.18336,5.8,0.05
07/08/2021 9:30,1.18238,1.18293,1.18231,1.1828,4.2,0.04
07/08/2021 9:15,1.1822,1.18236,1.18215,1.18234,1.4,0.01
07/08/2021 9:00,1.18222,1.18276,1.18212,1.18222,0,0
07/08/2021 8:45,1.18118,1.18247,1.18106,1.18219,10.1,0.09
07/08/2021 8:30,1.18127,1.18184,1.18101,1.18126,-0.1,0
07/08/2021 8:15,1.18136,1.18162,1.18103,1.18121,-1.5,-0.01
07/08/2021 8:00,1.18202,1.18202,1.18109,1.18139,-6.3,-0.05
07/08/2021 7:45,1.18038,1.18208,1.18004,1.18202,16.4,0.14
07/08/2021 7:30,1.18056,1.18078,1.18022,1.18041,-1.5,-0.01
07/08/2021 7:15,1.18017,1.18065,1.17994,1.18052,3.5,0.03
07/08/2021 7:00,1.1797,1.1806,1.1795,1.18017,4.7,0.04
07/08/2021 6:45,1.17969,1.18003,1.17942,1.17973,0.4,0
07/08/2021 6:30,1.18005,1.18005,1.1792,1.17964,-4.1,-0.03
07/08/2021 6:15,1.18039,1.18039,1.17996,1.18011,-2.8,-0.02
07/08/2021 6:00,1.18058,1.1806,1.17998,1.1804,-1.8,-0.02
07/08/2021 5:45,1.18019,1.18069,1.18009,1.18057,3.8,0.03
07/08/2021 5:30,1.17964,1.18021,1.17946,1.18018,5.4,0.05
07/08/2021 5:15,1.17942,1.1798,1.17937,1.17969,2.7,0.02
07/08/2021 5:00,1.17963,1.17963,1.17935,1.17938,-2.5,-0.02
07/08/2021 4:45,1.17931,1.17961,1.17926,1.17961,3,0.03
07/08/2021 4:30,1.17939,1.1794,1.17917,1.17933,-0.6,-0.01
07/08/2021 4:15,1.17946,1.17949,1.17929,1.17937,-0.9,-0.01
07/08/2021 4:00,1.17921,1.17947,1.17916,1.17947,2.6,0.02
07/08/2021 3:45,1.17904,1.17922,1.17903,1.1792,1.6,0.01
07/08/2021 3:30,1.17905,1.17915,1.17897,1.17904,-0.1,0
07/08/2021 3:15,1.1792,1.17921,1.17895,1.17901,-1.9,-0.02
07/08/2021 3:00,1.17904,1.17929,1.17895,1.17921,1.7,0.01
07/08/2021 2:45,1.1788,1.17904,1.17875,1.17903,2.3,0.02
07/08/2021 2:30,1.1787,1.17884,1.17854,1.1788,1,0.01
07/08/2021 2:15,1.17876,1.17877,1.17844,1.17871,-0.5,0
07/08/2021 2:00,1.17849,1.17886,1.17848,1.17872,2.3,0.02
07/08/2021 1:45,1.17947,1.17951,1.17835,1.17851,-9.6,-0.08
07/08/2021 1:30,1.17907,1.17949,1.1789,1.17949,4.2,0.04
07/08/2021 1:15,1.17906,1.17927,1.17882,1.17912,0.6,0.01
07/08/2021 1:00,1.1791,1.17921,1.17873,1.17903,-0.7,-0.01
07/08/2021 0:45,1.17914,1.17918,1.17892,1.17906,-0.8,-0.01
07/08/2021 0:30,1.17922,1.17932,1.17902,1.17914,-0.8,-0.01
07/08/2021 0:15,1.17942,1.17947,1.17914,1.17925,-1.7,-0.01
07/08/2021 0:00,1.17929,1.17945,1.17915,1.1794,1.1,0.01
07/07/2021 23:45,1.17959,1.17962,1.17924,1.17929,-3,-0.03
